,IN_LABORATORIO_CIENCIAS,QT_FUNCIONARIOS,IN_NOTURNO,IN_FUND_AF,IN_MED,QT_MAT_FUND,QT_MAT_FUND_AF,QT_MAT_MED,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_BRANCA,QT_MAT_BAS_PRETA,QT_MAT_BAS_PARDA,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND,QT_DOC_FUND_AF,QT_DOC_MED,QT_DOC_ESP,QT_DOC_ESP_CC,QT_TUR_BAS,QT_TUR_FUND,QT_TUR_FUND_AF,QT_TUR_MED,QT_MAT_BAS
QT_MAT_BAS_ND,0.4262488701810057,0.5114424484910013,0.515466347827927,0.4491496633744104,0.4359272516526749,0.7183457531180191,0.6669208910579337,0.5387361531036441,0.8326097350622675,0.8304694760603091,1.0,0.3348336364726692,0.2529123075588331,0.2846423248802336,0.7153194367731154,0.6395813088479205,0.6228351588437868,0.5398579722138934,0.7451209728523246,0.6284670005958463,0.6214718980415191,0.5823371585451261,0.4327074258163258,0.3422758803836782,0.3442208283183834,0.7826260770855811,0.5870157318912624,0.622134153027542,0.5074817660052962,0.8398792192314782
QT_MAT_BAS_BRANCA,0.4172466958443457,0.4606064176174867,0.3508477012059901,0.3580608682354218,0.4758651635075589,0.38051814197294387,0.42628830417638364,0.601413457096904,0.6856643167174462,0.6967667887611549,0.3348336364726692,1.0,0.6376528259082326,0.7364684175051914,0.46262077543749325,0.6802830132348431,0.6563168907536785,0.6344270130054722,0.5419676799018824,0.6995706063051814,0.37624380832501086,0.4198547589001565,0.6100853412458851,0.5491540020275395,0.5492978040726575,0.6632919475301644,0.28640418288167035,0.4087931368636325,0.6025951847419518,0.6977833818944414
QT_MAT_BAS_PRETA,0.3043413208579007,0.38948828765111543,0.3189819507458839,0.3170138767449279,0.332972444076298,0.38082313271453283,0.3651678998293736,0.36173147615120244,0.5660181683713105,0.5311557232830665,0.2529123075588331,0.6376528259082326,1.0,0.5949046768628513,0.38716601866793365,0.45587556889066,0.5418613763998716,0.4120920919885907,0.47895863006711586,0.51201773390721,0.3561270684936485,0.3539849892735722,0.33549030271984037,0.32663900641821497,0.32589582883810464,0.533141379871377,0.31359021453469443,0.360226818602218,0.3579341534083046,0.5550352043910134
QT_MAT_BAS_PARDA,0.48046227952825604,0.35929478430412876,0.4133847682328736,0.45755911967146656,0.5756235868204251,0.4363334915789134,0.508836277331265,0.6024027666816935,0.744367735798244,0.7430615524230604,0.2846423248802336,0.7364684175051914,0.5949046768628513,1.0,0.5408260460713836,0.7242587331265994,0.7065421603796569,0.7455152975554076,0.63065678950751,0.655807500623437,0.45590621694330186,0.523763075257657,0.5636661303399237,0.6246213099016316,0.6256862581694269,0.7036166507034816,0.33698437316170626,0.5012777331216812,0.5979678598997304,0.7511562474851788
QT_MAT_BAS_11_14,0.48904394640179294,0.38455915993321343,0.42472297976386464,0.7697424953166948,0.5012018315869847,0.8263174775380606,0.9641058646515297,0.40046630588228965,0.7791638849149786,0.7808868470341033,0.7153194367731154,0.46262077543749325,0.38716601866793365,0.5408260460713836,1.0,0.6309367394953154,0.4765579788528161,0.5962040204778111,0.6691248403008621,0.5351287203038382,0.7880863168610706,0.9055624997795887,0.30472858337357034,0.4342798361837358,0.435559658306358,0.6683003802168359,0.6376852605114482,0.9443584933491312,0.3702034000161898,0.7877427864135942
QT_MAT_BAS_15_17,0.6358089168210009,0.47612979178129716,0.41878884089150625,0.5045757844610823,0.7817719709740252,0.3809223646538225,0.6445530752798536,0.9168891550916165,0.8450579978110039,0.8342418016054539,0.6395813088479205,0.6802830132348431,0.45587556889066,0.7242587331265994,0.6309367394953154,1.0,0.7799014596596485,0.7333828106149652,0.7133504482068116,0.7483464117066185,0.38126616989591144,0.6160998539535025,0.8345869501565091,0.584398317690388,0.5854768747169525,0.7137502249730062,0.19156936098714286,0.6020714313484797,0.9031838143509597,0.8483157297343138
QT_MAT_BAS_18_MAIS,0.5204393989278833,0.5454447540308369,0.5621026604752691,0.3656855414030644,0.6129637569418853,0.3407631142615568,0.47106943320979944,0.7229526734976258,0.8499581019186113,0.7926700955691078,0.6228351588437868,0.6563168907536785,0.5418613763998716,0.7065421603796569,0.4765579788528161,0.7799014596596485,1.0,0.6303655667498901,0.8378484999236332,0.7634235738823449,0.3249351758227989,0.4485375188495298,0.6799294278458877,0.5142120075531053,0.5140700551800865,0.7668015458136305,0.20644859506685379,0.43789308647641473,0.7196814543159655,0.8311121963875694
QT_MAT_BAS_D,0.4867347285090127,0.326483415755742,0.3767304165639055,0.4285669024810339,0.5090886620697757,0.5125994869339189,0.527144162044614,0.6016741250818552,0.7536988593684263,0.8033517837091534,0.5398579722138934,0.6344270130054722,0.4120920919885907,0.7455152975554076,0.5962040204778111,0.7333828106149652,0.6303655667498901,1.0,0.5207161920473463,0.744144699606446,0.5323123789997296,0.542608646702906,0.6021425566907617,0.7756540359545167,0.7782124426112439,0.7821953732603376,0.4466598949457456,0.5268723362963164,0.6024064294634033,0.7848717272757717
QT_MAT_BAS_N,0.4634409628304116,0.4743051968275631,0.6906282387240774,0.508909465123475,0.5613806435109941,0.5954768833294878,0.6567971121143008,0.5833307342750969,0.8776665753476482,0.8259193246925282,0.7451209728523246,0.5419676799018824,0.47895863006711586,0.63065678950751,0.6691248403008621,0.7133504482068116,0.8378484999236332,0.5207161920473463,1.0,0.6095950053427911,0.5403805101092913,0.6012332513212438,0.4617512367422024,0.41842779141333913,0.4187255824419757,0.7668681573795939,0.4395098791405492,0.6147043709526164,0.5497109012810036,0.8617377400131316
QT_DOC_BAS,0.4845836908383822,0.6413327722666207,0.4699688068987015,0.4408928647378356,0.5214952019161446,0.4742549078915005,0.489773894002633,0.6769920555258577,0.7864997572366098,0.8303597584503911,0.6284670005958463,0.6995706063051814,0.51201773390721,0.655807500623437,0.5351287203038382,0.7483464117066185,0.7634235738823449,0.744144699606446,0.6095950053427911,1.0,0.5317216149814743,0.5339564381916079,0.7897032678816341,0.6687248115792923,0.6683433519980008,0.8573067940901254,0.40469335257348177,0.4944036820047412,0.7175883133623918,0.8152378000375482
