,TP_DEPENDENCIA,IN_LABORATORIO_CIENCIAS,IN_QUADRA_ESPORTES,QT_SALAS_EXISTENTES,QT_SALAS_UTILIZADAS,QT_COMP_ALUNO,QT_COMPUTADOR,QT_COMP_ADMINISTRATIVO,QT_FUNCIONARIOS,IN_FUND_AI,IN_MED,IN_PROF_TEC,IN_EJA_MED,QT_MAT_BAS,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_PROF,QT_MAT_PROF_TEC,QT_MAT_EJA_MED,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_BRANCA,QT_MAT_BAS_PRETA,QT_MAT_BAS_PARDA,QT_MAT_BAS_6_10,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND_AI,QT_DOC_FUND_AF,QT_DOC_MED,QT_DOC_PROF,QT_DOC_PROF_TEC,QT_DOC_EJA_MED,QT_DOC_ESP,QT_DOC_ESP_CC,QT_TUR_BAS,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_PROF_TEC,QT_TUR_EJA_MED,QT_MAT_MED
IN_MED,-0.5743962117009253,0.6641699090155176,0.3446157736077503,0.2783184187736602,0.2970464489489492,0.16084426450539058,0.17116212209196036,0.12556255237045275,0.34440719013881194,-0.45503152251371864,1.0,0.2257826647008681,0.5914380599573016,0.6174043980394628,-0.4117741096152015,0.5370711417684462,0.15046285333640888,0.1530537572311597,0.469311026807161,0.6361336813006355,0.5835563786831833,0.4359272516526749,0.4758651635075589,0.332972444076298,0.5756235868204251,-0.40805163337093775,0.5012018315869847,0.7817719709740252,0.6129637569418853,0.5090886620697757,0.5613806435109941,0.5214952019161446,-0.4182430598995471,0.5697766635287518,0.7011177403304801,0.13414134699107028,0.13487698038998883,0.5412952043368193,0.43464756394921494,0.434421881835127,0.48989853236989067,-0.4241580174023285,0.5150936255187181,0.7482556349786951,0.1472833012729392,0.14978932001413373,0.4921126338247363,0.7374040956022114
IN_PROF_TEC,-0.21948106242036297,0.23396388329311532,0.10982632323193402,0.16580856932910373,0.2964944400777792,0.2847967521107623,0.34325693612657987,0.3467359296949642,0.33374450524146865,-0.1594662858537005,0.2257826647008681,1.0,0.15746481637549017,0.1999148880230342,-0.13097880385261154,-0.006111835018375915,0.6270716792205779,0.6302289551029119,0.10379939889496113,0.21672613632291854,0.1769324969485725,0.08535986388351689,0.29403707172591,0.21173757983583466,0.2217024556894877,-0.13910416716016236,-0.011101761539347629,0.27816686811407615,0.36936270079721356,0.23879428326086127,0.12624342005224104,0.4050223931607466,-0.1359675597210411,-0.0069818814686523735,0.43735154213438987,0.6002422654550583,0.6015783542397786,0.1262595692979097,0.17852093427362267,0.1789683796860958,0.21177890352343673,-0.13417859099791135,-0.014850853347879589,0.3855510968957175,0.6303860646775574,0.6323005880228539,0.11091290173518834,0.3429243504644244
IN_EJA_MED,-0.3805568007740852,0.3804125192473682,0.18887458804429225,0.1224961838823787,0.2357042364781837,0.13597379316276756,0.1633490320159315,0.14743617043741172,0.2195648314965067,-0.3416704881529629,0.5914380599573016,0.15746481637549017,1.0,0.4393165003304301,-0.2905923366077938,0.2724220113182631,0.1724764748572404,0.1700526842205916,0.8386749037699418,0.4366424997949989,0.4331321243110415,0.2128786732300877,0.43739147430523145,0.2920309397022459,0.5217115472870836,-0.29251896737274985,0.2607189315284071,0.5295208789019368,0.5727258454092665,0.4722477854155347,0.42331782501371235,0.42076642498644307,-0.29657973311587604,0.3259320570275261,0.4730016377649583,0.1760532532138818,0.17304679762690384,0.9455286320416441,0.49209691546995293,0.48903528827521253,0.37651418556129107,-0.2956916643370753,0.26570838843834604,0.4152034418865735,0.17255973630953494,0.17011054095249006,0.8773073571678347,0.3968233144617845
QT_MAT_BAS,-0.39199292672954245,0.5602374088120446,0.40251717045064805,0.4791141861215283,0.47647793926080106,0.2546197970178897,0.2732402270859363,0.22005961229116308,0.5711932200028275,-0.15967415597793214,0.6174043980394628,0.1999148880230342,0.4393165003304301,1.0,0.03078547971761168,0.7360097308762786,0.26834081576695484,0.26209044512329976,0.4265269547261882,0.9911931137418568,0.9889657911576794,0.8398792192314781,0.6977833818944413,0.5550352043910134,0.7511562474851788,0.04303809922547831,0.7877427864135942,0.8483157297343138,0.8311121963875694,0.7848717272757718,0.8617377400131315,0.8152378000375482,-0.014897998724476804,0.6853959124781986,0.6256702372326143,0.25407979889712723,0.2495799987290955,0.43962079546086125,0.585555726207254,0.5873084722848435,0.9358954185512592,-0.009820558783050841,0.7007732079193103,0.6906677882269179,0.26624549409703663,0.26046139458553075,0.4236602434450532,0.713313174804213
QT_MAT_FUND_AI,0.3762485180734003,-0.2774088973545037,0.10893601501068066,0.1946120569474473,0.12030912908589027,0.0007233798388612795,-0.02193023290315249,-0.046857192659060735,0.04238115014309612,0.7696490619574674,-0.4117741096152015,-0.13097880385261154,-0.2905923366077938,0.03078547971761168,1.0,-0.303838097592947,-0.07057775699045354,-0.08219783757371454,-0.24896717713988142,-0.0020315125418771517,0.06685507808365584,0.10701840477854556,-0.047054127965086213,0.0402417195227606,-0.08240174085826524,0.9893597713528351,-0.15673869045586458,-0.35660049349370176,-0.16905314478482028,0.003557034793303526,-0.058991380877130406,0.00036054253509927543,0.9539041247521841,-0.29637708632730275,-0.308244044867642,-0.07730448873905285,-0.08324981371653628,-0.2765529677212276,-0.029172181026526002,-0.02738953277495571,0.211413190975397,0.9782122449858104,-0.27268182860104645,-0.32936593001901426,-0.07314227936309603,-0.08427407449947426,-0.2619614803692088,-0.3246821496074844
QT_MAT_FUND_AF,-0.44548331216377596,0.49791619215040755,0.23818157794910283,0.282340805315362,0.23411633039303353,0.0617264645424361,0.054348808271849354,0.0018778519414291007,0.35397433893730923,-0.3150123769512754,0.5370711417684462,-0.006111835018375915,0.2724220113182631,0.7360097308762786,-0.303838097592947,1.0,-0.05752924480621926,-0.05704319195962176,0.25601712675666605,0.7349356136552658,0.7218386607241343,0.6669208910579337,0.42628830417638364,0.3651678998293736,0.508836277331265,-0.2876607998975088,0.9641058646515297,0.6445530752798536,0.47106943320979944,0.527144162044614,0.6567971121143008,0.489773894002633,-0.31844871097447613,0.9349111803169162,0.3091412887957449,-0.05340311924167137,-0.05442509950542616,0.2590242641762421,0.3946441651972996,0.3957238035079505,0.5908618541780205,-0.3377572541117042,0.9741535725843814,0.37522816823242944,-0.05653849398029248,-0.05608257440301993,0.2543337686077895,0.4029937823608684
QT_MAT_PROF,-0.20843829173411588,0.16106244773261222,0.10545087350245096,0.20169909711069747,0.2735239817951103,0.5286485797253873,0.6333555830002295,0.6612178320963116,0.4389754461752092,-0.0938273161658436,0.15046285333640888,0.6270716792205779,0.1724764748572404,0.26834081576695484,-0.07057775699045354,-0.05752924480621926,1.0,0.9948935731475801,0.026054361466974846,0.2479814120500107,0.28551231437218266,0.15860979384783286,0.3971846209902552,0.22174270249827377,0.23793633760927088,-0.07878196195232526,-0.03651875770864591,0.3372508877583044,0.4490979713569656,0.31522884402363366,0.11705161572681833,0.6273212297956475,-0.0746462800800935,-0.06550828089828237,0.6807252695941933,0.9591177376155754,0.9556490257872329,0.12134587301289472,0.280678352665712,0.28100412747312986,0.33172642050321954,-0.07010134137022825,-0.06520171151812348,0.5316678478073595,0.9945809747913057,0.989660339446656,0.0535223448684241,0.45604020038431453
QT_MAT_PROF_TEC,-0.21814343814478449,0.16129269162375592,0.09885825758810877,0.19127175010051084,0.265511358957036,0.5294240295468386,0.6354299792521908,0.6648614461740898,0.44096693382486035,-0.09845144800913819,0.1530537572311597,0.6302289551029119,0.1700526842205916,0.26209044512329976,-0.08219783757371454,-0.05704319195962176,0.9948935731475801,1.0,0.02151121270259037,0.2418955674410847,0.27920843587703614,0.15542117795454152,0.3942366598309919,0.21367384655879684,0.23042900064567812,-0.08900620599622834,-0.03891605964348828,0.3377740048977706,0.4430136231866059,0.3072281672800644,0.10869331918495741,0.6231414114385699,-0.08608040277083953,-0.06606104203605671,0.684884942966954,0.9588407262323438,0.9607586900926258,0.11815249338190113,0.27271587610658554,0.2729996392980654,0.3219612792428871,-0.08459062771273973,-0.06470152279112604,0.5354231176414437,0.9908299393580393,0.9950447150197114,0.04890454854234369,0.45905679428352714
QT_MAT_EJA_MED,-0.2996019956451046,0.3378915821386247,0.1482225095445492,0.08512462988391284,0.1776860939087662,0.031207049210614977,0.034363601976886544,0.024942094158085893,0.13656271150777824,-0.30405346747352124,0.469311026807161,0.10379939889496113,0.8386749037699418,0.4265269547261882,-0.24896717713988142,0.25601712675666605,0.026054361466974846,0.02151121270259037,1.0,0.43507094181105166,0.4080600662402481,0.20966307148498492,0.38964459190378486,0.28850436931427104,0.510044739498375,-0.2483048581447684,0.2503859375187473,0.4579175152033827,0.5864406131098694,0.421147480455526,0.4733084907095514,0.29683556265264943,-0.2558461336596964,0.2813054658753958,0.31098049961518,0.02059889994019047,0.017493133752114587,0.9014500649019962,0.40153556783454913,0.4020214475110217,0.33659208425118026,-0.25337948887619277,0.23885749220826036,0.3012796406553721,0.021285280207624133,0.017498905591189867,0.9798400181523522,0.3053131552376896
QT_MAT_BAS_FEM,-0.3966499927867884,0.5681879533043238,0.388227811819972,0.4683819333530763,0.46195061721185876,0.2283246181854022,0.24138884742844752,0.18649101284393046,0.5610349135002706,-0.18212902693066021,0.6361336813006355,0.21672613632291854,0.4366424997949989,0.9911931137418568,-0.0020315125418771517,0.7349356136552658,0.2479814120500107,0.2418955674410847,0.43507094181105166,1.0,0.9606381988762677,0.8326097350622675,0.6856643167174462,0.5660181683713105,0.744367735798244,0.011779174297712466,0.7791638849149786,0.8450579978110039,0.8499581019186113,0.7536988593684263,0.8776665753476482,0.7864997572366098,-0.04668326684941234,0.6796612610703969,0.6056143451363362,0.22740374386758755,0.22298047918217045,0.4384042145061876,0.5486589825259701,0.5504085609242706,0.9123171110129499,-0.04158026257895534,0.6939495221181496,0.6937015238502672,0.24413949378979796,0.23852704287041934,0.42901226275910426,0.7229075451383901
